citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:27.749435031Z 2018-11-03 18:45:27 [XNIO-2 task-19] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:05 CST 2018,结束时间：Sat Oct 26 17:16:21 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:27.751024757Z 2018-11-03 18:45:27 [XNIO-2 task-19] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:15:53 CST 2018,结束时间：Sat Oct 26 17:16:16 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:27.752741284Z 2018-11-03 18:45:27 [XNIO-2 task-19] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:03 CST 2018,结束时间：Sat Oct 26 17:16:19 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:27.754690149Z 2018-11-03 18:45:27 [XNIO-2 task-19] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:13 CST 2018,结束时间：Sat Oct 26 17:16:34 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:27.756460389Z 2018-11-03 18:45:27 [XNIO-2 task-19] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:09 CST 2018,结束时间：Sat Oct 26 17:16:29 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:27.756495161Z 2018-11-03 18:45:27 [XNIO-2 task-19] INFO  com.citic.activity.promotion.controller.LotteryController - all product info :[{"4":"0.0"},{"7":"0.0"},{"1":"0.02"},{"2":"0.02"},{"3":"0.02"},{"5":"0.02"},{"6":"0.02"},{"8":"0.9"}],all weight is:0.9999999
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:27.756509171Z 2018-11-03 18:45:27 [XNIO-2 task-19] INFO  com.citic.activity.promotion.controller.LotteryController - seed is:0.21171516,uid is:,may product is:8
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:27.768960388Z 2018-11-03 18:45:27 [async-service-2] INFO  com.citic.activity.promotion.executor.AsyncPushDroitExecutor - getSign error, intput is UserInfoRequest(channelId=efead0d8420e4664a865e5462eb9b97f, sign=null, userToken=3a5efa922fec0ea57fd9b8f528631a65, citic_open_id=null, channel_token=null)
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:27.775330402Z 2018-11-03 18:45:27 [async-service-2] INFO  com.citic.activity.promotion.executor.AsyncPushDroitExecutor - 书院权益发放 input is {"rightsId":"6fe9441d-2243-4e5f-92a2-af725986f3e3","sign":"1cw26o5phxpxX2avQN6PGpfAGHZd95u/1gXfr6Zo3cnDaJwCHbv89TvIhuO6vKp3ujxIhyoTBu6A/H5UOjeZXg==","channelId":"efead0d8420e4664a865e5462eb9b97f"}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:28.345828988Z 2018-11-03 18:45:28 [async-service-2] INFO  com.citic.activity.promotion.executor.AsyncPushDroitExecutor - 书院权益发放 output is {"status":100}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.524902754Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.filter.CheckFilter - 请求用户联盟结果{"statusCode":200,"message":"success","data":{"uid":265551067335360512,"phone":"15255296712","citicOpenId":"FE6D6C4B80B3416EB72D85EB7D9978BC","isAuthenticated":false,"level":"0","activityType":"4"}}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:46:03.987029191Z 2018-11-03 18:46:03 [XNIO-2 task-6] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:46:13.566768108Z 2018-11-03 18:46:13 [XNIO-2 task-7] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
